[2025-10-15 17:25:16.373] [core] [info] 20200427
[2025-10-15 17:25:16.383] [core] [trace] CreateProcessA C:\Users\spirit\AppData\Local\Temp\~e5.0001
[2025-10-15 17:25:17.682] [core] [info] bgm.xml
[2025-10-15 17:25:17.702] [core] [trace] pk/utf8: true
[2025-10-15 17:25:17.702] [core] [info] encoding.xml
[2025-10-15 17:25:17.721] [core] [trace] pk/utf8: true
[2025-10-15 17:25:17.721] [core] [trace] pk/enc/lang: 1
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/font16: font/jp16.wftx
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/font24: font/jp24.wftx
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/lang: 2
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/font16: font/kr16.wftx
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/font24: font/kr24.wftx
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/default: true
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/lang: 3
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/font16: font/sc16.wftx
[2025-10-15 17:25:17.722] [core] [trace] pk/enc/font24: font/sc24.wftx
[2025-10-15 17:25:17.722] [core] [info] enc_1.xml
[2025-10-15 17:25:17.809] [core] [info] enc_2.xml
[2025-10-15 17:25:17.911] [core] [info] enc_3.xml
[2025-10-15 17:25:18.039] [core] [info] shiftjis.xml
[2025-10-15 17:25:18.131] [core] [info] 경로.xml
[2025-10-15 17:25:18.162] [core] [trace] pk/utf8: true
[2025-10-15 17:25:18.164] [core] [info] 관직.xml
[2025-10-15 17:25:18.188] [core] [trace] pk/utf8: true
[2025-10-15 17:25:18.188] [core] [trace] pk/관직/번호: 0
[2025-10-15 17:25:18.188] [core] [trace] pk/관직/번호: 1
[2025-10-15 17:25:18.188] [core] [trace] pk/관직/번호: 2
[2025-10-15 17:25:18.188] [core] [trace] pk/관직/번호: 3
[2025-10-15 17:25:18.188] [core] [trace] pk/관직/번호: 4
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 5
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 6
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 7
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 8
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 9
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 10
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 11
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 12
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 13
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 14
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 15
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 16
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 17
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 18
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 19
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 20
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 21
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 22
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 23
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 24
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 25
[2025-10-15 17:25:18.189] [core] [trace] pk/관직/번호: 26
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 27
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 28
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 29
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 30
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 31
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 32
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 33
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 34
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 35
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 36
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 37
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 38
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 39
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 40
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 41
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 42
[2025-10-15 17:25:18.190] [core] [trace] pk/관직/번호: 43
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 44
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 45
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 46
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 47
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 48
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 49
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 50
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 51
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 52
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 53
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 54
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 55
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 56
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 57
[2025-10-15 17:25:18.191] [core] [trace] pk/관직/번호: 58
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 59
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 60
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 61
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 62
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 63
[2025-10-15 17:25:18.192] [core] [trace] pk/관직/번호: 64
